1,01-02,Karina
1,01-03,Radmila
1,01-04,Diana
1,01-05,Dalimil
1,01-07,Vilma
1,01-08,Čestmír
1,01-09,Vladan
1,01-10,Břetislav
1,01-11,Bohdana
1,01-12,Pravoslav
1,01-13,Edita
1,01-14,Radovan
1,01-15,Alice
1,01-16,Ctirad
1,01-17,Drahoslav
1,01-18,Vladislav
1,01-19,Doubravka
1,01-20,Ilona
1,01-21,Běla
1,01-22,Slavomír
1,01-23,Zdeněk
1,01-24,Milena
1,01-25,Miloš
1,01-26,Zora
1,01-27,Ingrid
1,01-28,Otýlie
1,01-29,Zdislava
1,01-30,Robin
1,01-31,Marika
1,02-01,Hynek
1,02-02,Nela, Hromnice
1,02-03,Blažej
1,02-04,Jarmila
1,02-05,Dobromila
1,02-06,Vanda
1,02-07,Veronika
1,02-08,Milada
1,02-09,Apolena
1,02-10,Mojmír
1,02-11,Božena
1,02-12,Slavěna
1,02-13,Věnceslav
1,02-14,Valentýn
1,02-15,Jiřina
1,02-16,Ljuba
1,02-17,Miloslava
1,02-18,Gizela
1,02-19,Patrik
1,02-20,Oldřich
1,02-21,Lenka
1,02-22,Petr
1,02-23,Svatopluk
1,02-24,Matěj
1,02-25,Liliana
1,02-26,Dorota
1,02-27,Alexandr
1,02-28,Lumír
1,02-29,Horymír
1,03-01,Bedřich
1,03-02,Anežka
1,03-03,Kamil
1,03-04,Stela
1,03-05,Kazimír
1,03-06,Miroslav
1,03-07,Tomáš
1,03-08,Gabriela
1,03-09,Františka
1,03-10,Viktorie
1,03-11,Anděla
1,03-12,Řehoř
1,03-13,Růžena
1,03-14,Rút/Matylda
1,03-15,Ida
1,03-16,Elena/Herbert
1,03-17,Vlastimil
1,03-18,Eduard
1,03-19,Josef
1,03-20,Světlana
1,03-21,Radek
1,03-22,Leona
1,03-23,Ivona
1,03-24,Gabriel
1,03-25,Marián
1,03-26,Emanuel
1,03-27,Dita
1,03-28,Soňa
1,03-29,Taťána
1,03-30,Arnošt
1,03-31,Kvido
1,04-01,Hugo
1,04-02,Erika
1,04-03,Richard
1,04-04,Ivana
1,04-05,Miroslava
1,04-06,Vendula
1,04-07,Heřman
1,04-08,Ema
1,04-09,Dušan
1,04-10,Darja
1,04-11,Izabela
1,04-12,Julius
1,04-13,Aleš
1,04-14,Vincenc
1,04-15,Anastázie
1,04-16,Irena
1,04-17,Rudolf
1,04-18,Valérie
1,04-19,Rostislav
1,04-20,Marcela
1,04-21,Alexandra
1,04-22,Evženie
1,04-23,Vojtěch
1,04-24,Jiří
1,04-25,Marek
1,04-26,Oto
1,04-27,Jaroslav
1,04-28,Vlastislav
1,04-29,Robert
1,04-30,Blahoslav
1,05-02,Zikmund
1,05-03,Alexej
1,05-04,Květoslav
1,05-05,Klaudie
1,05-06,Radoslav
1,05-07,Stanislav
1,05-09,Ctibor
1,05-10,Blažena
1,05-11,Svatava
1,05-12,Pankrác
1,05-13,Servác
1,05-14,Bonifác
1,05-15,Žofie
1,05-16,Přemysl
1,05-17,Aneta
1,05-18,Nataša
1,05-19,Ivo
1,05-20,Zbyšek
1,05-21,Monika
1,05-22,Emil
1,05-23,Vladimír
1,05-24,Jana
1,05-25,Viola
1,05-26,Filip
1,05-27,Valdemar
1,05-28,Vilém
1,05-29,Maxmilián
1,05-30,Ferdinand
1,05-31,Kamila
1,06-01,Laura
1,06-02,Jarmil
1,06-03,Tamara
1,06-04,Dalibor
1,06-05,Dobroslav
1,06-06,Norbert
1,06-07,Iveta
1,06-08,Medard
1,06-09,Stanislava
1,06-10,Gita
1,06-11,Bruno
1,06-12,Antonie
1,06-13,Antonín
1,06-14,Roland
1,06-15,Vít
1,06-16,Zbyněk
1,06-17,Adolf
1,06-18,Milan
1,06-19,Leoš
1,06-20,Květa
1,06-21,Alois
1,06-22,Pavla
1,06-23,Zdeňka
1,06-24,Jan
1,06-25,Ivan
1,06-26,Adriana
1,06-27,Ladislav
1,06-28,Lubomír
1,06-29,Petr a Pavel
1,06-30,Šárka
1,07-01,Jaroslava
1,07-02,Patricie
1,07-03,Radomír
1,07-04,Prokop
1,07-07,Bohuslava
1,07-08,Nora
1,07-09,Drahoslava
1,07-10,Libuše/Amálie
1,07-11,Olga
1,07-12,Bořek
1,07-13,Markéta
1,07-14,Karolína
1,07-15,Jindřich
1,07-16,Luboš
1,07-17,Martina
1,07-18,Drahomíra
1,07-19,Čeněk
1,07-20,Ilja
1,07-21,Vítězslav
1,07-22,Magdaléna
1,07-23,Libor
1,07-24,Kristýna
1,07-25,Jakub
1,07-26,Anna
1,07-27,Věroslav
1,07-28,Viktor
1,07-29,Marta
1,07-30,Bořivoj
1,07-31,Ignác
1,08-01,Oskar
1,08-02,Gustav
1,08-03,Miluše
1,08-04,Dominik
1,08-05,Kristián
1,08-06,Oldřiška
1,08-07,Lada
1,08-08,Soběslav
1,08-09,Roman
1,08-10,Vavřinec
1,08-11,Zuzana
1,08-12,Klára
1,08-13,Alena
1,08-14,Alan
1,08-15,Hana
1,08-16,Jáchym
1,08-17,Petra
1,08-18,Helena
1,08-19,Ludvík
1,08-20,Bernard
1,08-21,Johana
1,08-22,Bohuslav
1,08-23,Sandra
1,08-24,Bartoloměj
1,08-25,Radim
1,08-26,Luděk
1,08-27,Otakar
1,08-28,Augustýn
1,08-29,Evelína
1,08-30,Vladěna
1,08-31,Pavlína
1,09-01,Linda/Samuel
1,09-02,Adéla
1,09-03,Bronislav/Bronislava
1,09-04,Jindřiška
1,09-05,Boris
1,09-06,Boleslav
1,09-07,Regina/Regína
1,09-08,Mariana
1,09-09,Daniela
1,09-10,Irma
1,09-11,Denisa
1,09-12,Marie
1,09-13,Lubor
1,09-14,Radka
1,09-15,Jolana
1,09-16,Ludmila
1,09-17,Naděžda
1,09-18,Kryštof
1,09-19,Zita
1,09-20,Oleg
1,09-21,Matouš
1,09-22,Darina
1,09-23,Berta
1,09-24,Jaromír
1,09-25,Zlata
1,09-26,Andrea
1,09-27,Jonáš
1,09-28,Václav
1,09-29,Michal
1,09-30,Jeroným
1,10-01,Igor
1,10-02,Olívie/Oliver
1,10-03,Bohumil
1,10-04,František
1,10-05,Eliška
1,10-06,Hanuš
1,10-07,Justýna
1,10-08,Věra
1,10-09,Štefan/Sára
1,10-10,Marina
1,10-11,Andrej
1,10-12,Marcel
1,10-13,Renáta
1,10-14,Agáta
1,10-15,Tereza
1,10-16,Havel
1,10-17,Hedvika
1,10-18,Lukáš
1,10-19,Michaela
1,10-20,Vendelín
1,10-21,Brigita
1,10-22,Sabina
1,10-23,Teodor
1,10-24,Nina
1,10-25,Beáta
1,10-26,Erik
1,10-27,Šarlota/Zoe
1,10-29,Silvie
1,10-30,Tadeáš
1,10-31,Štěpánka
1,11-01,Felix
1,11-03,Hubert
1,11-04,Karel
1,11-05,Miriam
1,11-06,Liběna
1,11-07,Saskie
1,11-08,Bohumír
1,11-09,Bohdan
1,11-10,Evžen
1,11-11,Martin
1,11-12,Benedikt
1,11-13,Tibor
1,11-14,Sáva
1,11-15,Leopold
1,11-16,Otmar
1,11-17,Mahulena
1,11-18,Romana
1,11-19,Alžběta
1,11-20,Nikola
1,11-21,Albert
1,11-22,Cecílie
1,11-23,Klement
1,11-24,Emílie
1,11-25,Kateřina
1,11-26,Artur
1,11-27,Xenie
1,11-28,René
1,11-29,Zina
1,11-30,Ondřej
1,12-01,Iva
1,12-02,Blanka
1,12-03,Svatoslav
1,12-04,Barbora
1,12-05,Jitka
1,12-06,Mikuláš
1,12-07,Ambrož
1,12-08,Květoslava
1,12-09,Vratislav
1,12-10,Julie
1,12-11,Dana
1,12-12,Simona
1,12-13,Lucie
1,12-14,Lýdie
1,12-15,Radana
1,12-16,Albína
1,12-17,Daniel
1,12-18,Miloslav
1,12-19,Ester
1,12-20,Dagmar
1,12-21,Natálie
1,12-22,Šimon
1,12-23,Vlasta
1,12-24,Adam/Eva
1,12-26,Štěpán
1,12-27,Žaneta
1,12-28,Bohumila
1,12-29,Judita
1,12-30,David
